score,tweet_text
0,Does anyone know if you #block someone on #whatsapp or on an #iPhone does the other person see they've been blocked?
4,#iphone #style #giftcard #newdeals #win #santa #christmas #blackfriday SKY Devices Eliteâ€_ https://t.co/asU4YLk2DO https://t.co/QyZyufqaT5
0,"Air Hockey Blue just released on #iphone #mobilegame #indiegames #indiedev #penguins, #redwingsâ€_ https://t.co/YfPo8rQYNp"
4,#iphone #style #giftcard #newdeals #win #santa #christmas #blackfriday SKY Devices Eliteâ€_ https://t.co/ea42BHTF5L https://t.co/Ow7B5OiaUq
4,#iphone #style #giftcard #newdeals #win #santa #christmas #blackfriday SKY Devices Eliteâ€_ https://t.co/1N3VclZCqe https://t.co/AK09qaYRxV
4,43 awesome users just followed me. Via @FindUnfollower https://t.co/PMlRApRgn3. #iPhone #App
4,#iphone #style #giftcard #newdeals #win #santa #christmas #blackfriday SKY Devices Eliteâ€_ https://t.co/JB2SLA2L7I https://t.co/MUVHf22fzL
4,#iphone #style #giftcard #newdeals #win #santa #christmas #blackfriday SKY Devices Eliteâ€_ https://t.co/XzufyJABLI https://t.co/VZOQ6PGOrX
0,7 users just unfollowed me. Via @FindUnfollower https://t.co/PMlRApzEYt. #iPhone #App
4,#iphone #style #giftcard #newdeals #win #santa #christmas #blackfriday SKY Devices Eliteâ€_ https://t.co/dxGg1CFjk5 https://t.co/ZKVKMuMSad
4,#iphone #style #giftcard #newdeals #win #santa #christmas #blackfriday SKY Devices Eliteâ€_ https://t.co/xlKJsdhkqa https://t.co/UpHMuzI3mB
4,eBay: good Apple iPhone 5 - 16GB - White &amp; Silver (Factory Unlocked)â€_ https://t.co/m0cL1YY7VP #apple #iphone #ios https://t.co/b24Whc1Zqi
4,4 awesome users just followed me. Via @FindUnfollower https://t.co/h0dNOeFm8L. #iPhone #App
0,7 users just unfollowed me. Via @FindUnfollower https://t.co/h0dNOeFm8L. #iPhone #App
0,eBay: Apple iPhone 4s - 16GB - White (Unlocked) Smartphone https://t.co/FhLNonXSSs #apple #iphone #iosâ€_ https://t.co/cVsynGC1CH
4,Great Music app for #iphone https://t.co/vjXCfaQnmW
0,The latest Ahmed AlNeaimyï£¿ Daily!! https://t.co/mz5l4e75ej Thanks to @melissamarie46 @Complex_News @kezielive #iphone #naira
